Frame count, Pixels in mask, Processing time of image inpainting (ms), Fillrate (px/ms), Frame time (delta time) (ms)
2410, 15957, 12.8774, 1239.148, 32.9689
2420, 15815, 12.7679, 1238.653, 32.6039
2430, 15857, 12.2412, 1295.38, 18.0933
2440, 15705, 11.9229, 1317.213, 18.0069
2450, 15621, 11.6409, 1341.907, 27.7326
2460, 15511, 12.7188, 1219.533, 18.9003
2470, 15431, 11.9459, 1291.74, 30.7111
2480, 15159, 12.59, 1204.051, 25.1423
2490, 14607, 11.7854, 1239.415, 26.931
2500, 13464, 12.1892, 1104.584, 35.1227
2510, 12816, 11.3364, 1130.518, 27.2848
2520, 11718, 12.5251, 935.5614, 27.4154
2530, 10409, 11.0331, 943.4338, 26.7695
2540, 10265, 11.9396, 859.744, 27.0352
2550, 9947, 12.1388, 819.4385, 19.2007
2560, 8749, 11.248, 777.8271, 19.102
2570, 6716, 10.6103, 632.9698, 15.4044
2580, 4044, 6.4844, 623.6506, 20.0599
2590, 691, 4.7482, 145.5288, 8.4211
2600, 603, 3.9932, 151.0067, 9.0691
2610, 603, 4.495, 134.1491, 8.2342
2620, 603, 5.4381, 110.8843, 8.9761
2630, 603, 4.8047, 125.5021, 8.2341
2640, 603, 4.5366, 132.9189, 8.288
2650, 603, 6.0191, 100.1811, 9.8866
2660, 603, 4.1851, 144.0826, 13.0474
2670, 603, 4.7706, 126.3992, 8.234401
2680, 603, 5.6378, 106.9566, 9.200399
2690, 603, 4.2994, 140.2521, 13.6083
2700, 603, 4.9378, 122.1192, 8.5152
2710, 603, 4.362, 138.2393, 8.8604
2720, 603, 4.7484, 126.9901, 8.2856
2730, 603, 5.5867, 107.9349, 9.157701
2740, 603, 4.9471, 121.8896, 8.3787
2750, 603, 4.2533, 141.7723, 9.378099
2760, 603, 4.4505, 135.4904, 10.5625
2770, 603, 5.7199, 105.4214, 9.1903
2780, 603, 4.8656, 123.9313, 10.5463
2790, 603, 4.1992, 143.5988, 9.6765
2800, 603, 4.808, 125.416, 8.6614
2810, 603, 5.7074, 105.6523, 8.9914
2820, 603, 4.1766, 144.3758, 13.5544
2830, 603, 5.6056, 107.571, 8.9261
2840, 603, 5.1517, 117.0487, 15.5484
2850, 603, 4.2424, 142.1365, 13.7476
2860, 603, 4.351, 138.5888, 13.5723
2870, 603, 5.5171, 109.2966, 9.1546
2880, 603, 4.5342, 132.9893, 8.2844
2890, 603, 5.4917, 109.8021, 9.0738
2900, 603, 5.2713, 114.393, 8.8123
2910, 603, 6.2035, 97.20319, 9.8506
2920, 603, 5.0723, 118.881, 16.476
2930, 603, 6.037, 99.88405, 16.4949
2940, 603, 4.7258, 127.5974, 11.4229
2950, 603, 4.5991, 131.1126, 9.4833
2960, 603, 5.4742, 110.1531, 9.6083
2970, 603, 5.6696, 106.3567, 9.1664
2980, 603, 6.0204, 100.1595, 9.6833
2990, 603, 5.9227, 101.8117, 10.6575
3000, 603, 6.2631, 96.2782, 13.5112
3010, 603, 5.0999, 118.2376, 9.123
3020, 603, 6.3267, 95.31035, 10.2669
3030, 603, 6.1034, 98.79739, 10.3033
3040, 603, 5.3876, 111.9237, 10.7936
3050, 603, 5.4291, 111.0681, 9.4478
3060, 603, 4.7047, 128.1697, 10.387
3070, 603, 5.1259, 117.6379, 9.2303
3080, 603, 6.0777, 99.21516, 9.8301
3090, 603, 5.624, 107.2191, 9.266
3100, 603, 4.901, 123.0361, 13.8885
3110, 603, 4.709, 128.0527, 13.923
3120, 603, 5.9707, 100.9932, 10.1153
3130, 603, 6.2676, 96.20908, 12.7753
3140, 603, 4.9113, 122.7781, 10.2272
3150, 603, 6.0368, 99.88736, 10.0489
3160, 603, 5.5332, 108.9785, 14.9214
3170, 603, 5.7987, 103.9888, 11.0631
